"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PF3D7_1130800",4.23575242793302,0.0108924906030308,0.518969881166506,0.965427004585635,0.983350141163273
"PF3D7_1130900",12.7191719461381,0.566775833890649,0.611865133366499,0.110568240580396,0.248891468469443
"PF3D7_1131000",40.1139616888638,0.774590659429824,0.448398178154656,0.024128694395601,0.080211847983749
"PF3D7_1131100",367.819107830032,-0.0182461091134809,0.222577235463759,0.927608733153145,0.964598538132253
"PF3D7_1131200",70.4975739297722,-0.138866639290944,0.30152779186912,0.589331365780273,0.748717716974846
"PF3D7_1131300",9.82629827967952,0.181033755876657,0.492633562678729,0.529226505964779,0.699403429540688
"PF3D7_1131400",22.2453315910818,0.120454424092206,0.419568525871969,0.684713397161976,0.820137194576625
"PF3D7_1131500",5.3554527879088,-0.332359777865279,0.602641452281046,0.232159426678179,0.417735339948145
"PF3D7_1131600",22.1585049118816,0.503826124065379,0.503500312887573,0.136580373481631,0.288459144844722
"PF3D7_1131700",1.5004874957826,-0.0826297709949787,0.570004762711503,0.582583979588573,NA
"PF3D7_1131800",699.833228728941,-0.734062324181955,0.229796352936665,0.000540717719799616,0.00339420148415987
"PF3D7_1131900",5.03806739941341,-0.12698395947189,0.520896267541696,0.616958885231358,0.769926924242789
"PF3D7_1132000",371.833462969681,-0.637450062638201,0.229114879387475,0.00248971011417209,0.0125855988340259
"PF3D7_1132100",4.12436650746912,0.211748274069421,0.584064663686525,0.334309898598764,0.526968463811593
"PF3D7_1132200",484.49102321931,0.833224371872523,0.246241724268084,0.00022962567525289,0.00162209932133772
"PF3D7_1132300",124.014944380271,0.39681270890447,0.26681403872057,0.0945477978239023,0.222863054100665
"PF3D7_1132400",216.879284514967,-0.269423368008656,0.254835802277482,0.237977635196054,0.425421598231645
"PF3D7_1132500",3.99822750806923,0.00657076680594754,0.530689879396296,0.978496766611771,0.989090246691918
"PF3D7_1132600",201.230244009832,0.00373951139259853,0.227596693005548,0.986744616585977,0.993503691255689
"PF3D7_1132700",49.2813441441558,0.0991345227539819,0.311355065762459,0.707406387642465,0.834146064593258
"PF3D7_1132800",855.825304124771,-0.767126040361092,0.249598129906217,0.000752677544819179,0.004507883991254
"PF3D7_1132900",52.5187942962023,0.0998942058670412,0.329612537364453,0.715130943595455,0.839389841337929
"PF3D7_1133000",13.2676806277855,-0.846230245087409,0.732342428576795,0.0403164302361293,0.118934668376541
"PF3D7_1133100",160.629123460462,-0.159959058812432,0.253521032337429,0.48141216136016,0.661125147655784
"PF3D7_1133200",4271.22138161745,0.00165798090479913,0.173141770018997,0.99399383433526,0.997009592327783
"PF3D7_1133300",181.876604167431,-1.01933482651673,0.334385203648852,0.000497989535705089,0.00314991085148155
"PF3D7_1133400",3984.00430568749,-2.28670923570237,0.188973586058246,8.45293482912954e-35,1.37095367436553e-32
"PF3D7_1133500",6.71298140010975,-0.611088306340282,0.83541135663702,0.0704288430294075,0.179188999079599
"PF3D7_1133600",4.31447003555254,0.0522013342388051,0.528320573172136,0.821707044501206,0.907809343696521
"PF3D7_1133700",166.976834311699,-0.0453918327694301,0.289910011141268,0.853662384343707,0.925387442564277
"PF3D7_1133800",523.300445338402,0.0381375738260635,0.194612811944815,0.836695037732879,0.916804936658603
"PF3D7_1133900",427.38168808912,0.668677400486428,0.227157165810305,0.00143716141356337,0.00781748373877237
"PF3D7_1134000",1160.93474601455,0.764165441697408,0.227656555645674,0.000291567175121614,0.00198883304185431
"PF3D7_1134100",213.021507848063,0.141328293248532,0.219098775427217,0.487104167895704,0.664623868075335
"PF3D7_1134200",50.4229078693084,-0.109557126250523,0.337103103896854,0.688770462205228,0.822642755798585
"PF3D7_1134300",1117.23610913653,-0.17388043634537,0.175265025095562,0.296784589532966,0.489436253578672
"PF3D7_1134400",21.5797653573837,0.656274821143415,0.552781482846634,0.0717966804214316,0.182117513150833
"PF3D7_1134500",164.015864892803,-0.108576518358577,0.238382361683913,0.616209108936453,0.769718128769741
"PF3D7_1134600",77.4647349946642,-0.226886093944482,0.311828279978583,0.389514955884397,0.582159332800098
"PF3D7_1134700",74.1460107689235,-0.577026330243067,0.377532203014806,0.056133929058119,0.152614119626761
"PF3D7_1134800",146.857515453615,-0.121566375070353,0.252723007004276,0.592088420640302,0.750323090812181
"PF3D7_1134900",10.8260400219813,-0.0773567419895884,0.458087389659724,0.785320555070228,0.884087317274294
"PF3D7_1135000",4.58494354197268,-0.00145691119447241,0.519587679907594,0.992860910647028,0.996477890285087
"PF3D7_1135100",176.245194220079,-0.801999504116431,0.292193826030448,0.00192905352091728,0.0100485046325932
"PF3D7_1135200",2.10792892463802,0.258835290035166,0.629812946800168,0.187003407648834,0.357911963925345
"PF3D7_1135300",1.76524169630413,-0.0182704696627282,0.554401701119691,0.914622319528302,0.958700503601955
"PF3D7_1135400",86.2080496876422,0.746287866867284,0.313032157119806,0.00612881404139007,0.0271122112678442
"PF3D7_1135500",20.3016199230177,1.45176807149981,0.610838393283932,0.00183713192441578,0.00964056847955326
"PF3D7_1135600",36.8713021746156,0.837268881106887,0.439600602934145,0.0145856270191941,0.054630003314338
"PF3D7_1135700",26.6790341932161,0.89986449054476,0.514830779872541,0.0171695840426855,0.0625318184282108
"PF3D7_1135800",7.56050469815598,0.227239748458454,0.518437819663246,0.427913438028607,0.61740551038227
"PF3D7_1135900",755.932627348206,-0.127881023087415,0.189376102198142,0.473554453251067,0.654685401079465
"PF3D7_1136000",518.157529326262,0.155338304792626,0.218120489641211,0.443860306683475,0.629606195893407
"PF3D7_1136100",2.22045299486828,-0.0493206090581412,0.551642474672969,0.790809715254079,0.888250368730459
"PF3D7_1136200",1045.33886076534,-1.47150481945956,0.205321305668667,1.03119150761521e-13,2.87285319453024e-12
"PF3D7_1136300",1084.22823155239,0.0308583340342844,0.170354163552813,0.852012697231228,0.924791239364749
"PF3D7_1136400",204.227728542963,-0.385303517830079,0.251261329574063,0.0883756582124009,0.211662960125813
"PF3D7_1136500",2357.23435461666,-0.575164105797178,0.192368290569841,0.00148982023153953,0.00801844643747524
"PF3D7_1136600",519.917983393522,-0.165689284692893,0.187039337782195,0.347189576531978,0.540060574034529
"PF3D7_1136700",209.191176407209,-0.934939007607778,0.24693588807607,4.05592474653117e-05,0.000344406349624111
"PF3D7_1136800",119.38141269139,0.118227862765829,0.261085660058062,0.614435175628272,0.76866398484879
"PF3D7_1136900",1258.77360709083,-2.31313367959585,0.203651390083315,4.19114097558634e-31,4.9485400233173e-29
"PF3D7_1137100",68.0896999013942,0.526028073744466,0.348878116481224,0.0669729502656661,0.173702332828158
"PF3D7_1137200",114.893806386532,-1.09314799811085,0.342764426621966,0.000274969765659349,0.00189385426097877
"PF3D7_1137300",124.770782205553,0.89003474929382,0.297971515701157,0.000777591898780382,0.00465148157545466
"PF3D7_1137400",64.385420821768,0.640913122964394,0.355161560804696,0.0292886694474809,0.0931638946696971
"PF3D7_1137500",126.089676823867,-0.0122426301935146,0.292051662059333,0.959345838586332,0.980502063798355
"PF3D7_1137600",0.855435048733323,-0.0372808652226932,0.574205370870953,0.73486252450572,NA
"PF3D7_1137700",0.928638195519839,-0.0998949645038479,0.584940357625421,0.384445869696287,NA
"PF3D7_1137800",21.4503861644189,-2.47778389446618,0.6232192592505,4.77969892186438e-06,5.23234590585551e-05
"PF3D7_1137900",1.3546883799631,-0.0993004654690682,0.571537125551963,0.532980412247306,NA
"PF3D7_1138000",1141.24704563666,-0.462840613629065,0.238736774358848,0.0329933622742377,0.102067425775387
"PF3D7_1138100",2.70120612937272,-0.106861520491299,0.559469862218367,0.577511332364504,0.739631056281963
"PF3D7_1138200",11.5725966913765,-0.71144832870613,0.67958916202402,0.0636483323356223,0.166648405518665
"PF3D7_1138300",9.48585257028198,0.349157412235148,0.550216186480433,0.25912418416753,0.44835897742037
"PF3D7_1138350",16.3258866004531,-0.0587589159174004,0.417599534560023,0.838692849791397,0.917830823515116
"PF3D7_1138400",987.135501563572,-0.359796261999091,0.183344754199677,0.037873179125468,0.113413704881157
"PF3D7_1138500",1447.71039030983,0.119155040393428,0.217119562580585,0.555668563508903,0.720684248577463
"PF3D7_1138600",48.8817092153226,0.234946410852752,0.340400310108227,0.399329909542544,0.591484251144803
"PF3D7_1138700",250.648129945159,-1.40242759487692,0.276614300531723,5.49967242894667e-08,8.16553160932532e-07
"PF3D7_1138800",726.609579068058,0.278594198940497,0.227794694347851,0.183682635087756,0.354291010268449
"PF3D7_1139100",90.8962674397406,0.0320648512261587,0.33042783387352,0.908540531708795,0.955927957437043
"PF3D7_1139200",3.27049652207658,-0.206460640273329,0.577417090103633,0.360403765400802,0.552631834910432
"PF3D7_1139300",441.40330977648,0.305345651977977,0.235219139880622,0.155414381635069,0.315860622347666
"PF3D7_1139500",3.30102044272546,-0.318564187809251,0.649379010261176,0.167575284731755,0.332493432853953
"PF3D7_1139600",1.81746101998698,-0.0858813574789217,0.566868839045221,0.59545207418391,0.753469465648893
"PF3D7_1139700",85.9620210582552,-0.604067473712647,0.3203582681699,0.0268888588152029,0.0872085355556514
"PF3D7_1139800",118.224531245362,-0.305842608443257,0.309704563881945,0.243725327714622,0.431809181899538
"PF3D7_1139900",17.8850379776207,-0.0375474448347937,0.407888504765558,0.895409021617804,0.948181366261519
"PF3D7_1140000",30.5168837885012,-0.0599050277337376,0.359588490210851,0.83064150908919,0.91273016697835
"PF3D7_1140100",121.831951506781,-0.306355061627698,0.306232146964447,0.23960018243049,0.427401908155683
"PF3D7_1140200",584.325732195899,0.0651105053901062,0.198727296004994,0.729228827893455,0.847687223266413
"PF3D7_1140300",14.8735555292647,0.167992605288059,0.465469256226216,0.569699984899903,0.732471409157018
"PF3D7_1140400",897.272872129077,-1.12409677670197,0.186388139959632,3.36928330972142e-10,6.65668363860898e-09
"PF3D7_1140500",125.519923433624,-0.583557493890443,0.326886611046377,0.0345733595505863,0.105898264367732
"PF3D7_1140600",133.583486867642,-0.414981830786202,0.328245327740371,0.129163146562721,0.276682524321613
"PF3D7_1140700",242.140504196113,-0.378713284396606,0.305610179826045,0.146417699860827,0.302577662512997
"PF3D7_1140800",69.2669695284112,-1.15866090479956,0.380286149483693,0.000399531988981486,0.00262421077266118
"PF3D7_1140900",57.0927873198114,-0.323807459421267,0.344059058870864,0.248765512954006,0.437611982525334
"PF3D7_1141000",2.56931889750698,-0.0228342532615213,0.543892107603952,0.906737673049076,0.95561612594243
"PF3D7_1141100",8.99004639152678,-0.500626855430019,0.731451535506441,0.105926130837721,0.24117891773382
"PF3D7_1141200",21.3218884911818,-0.0347686159575499,0.409498051296529,0.902951577939005,0.953724574014808
"PF3D7_1141300",289.998403082641,-0.0567940547331853,0.303489048563625,0.82420185438513,0.90900178187511
"PF3D7_1141400",125.140247051268,0.527208945401353,0.269953568279895,0.0282773668775249,0.090508384045871
"PF3D7_1141500",1.22066045794125,0.200847236189034,0.625414325973967,0.123337733475849,NA
"PF3D7_1141600",26.2928767478809,0.842987738637123,0.5504811717401,0.0279226125992506,0.0897978183396132
"PF3D7_1141700",55.6654317645444,0.816643890777557,0.391917059438955,0.010810328749816,0.04288673621627
"PF3D7_1141800",378.260575781258,-0.330988854909445,0.200113384076338,0.0769590816941185,0.190915500810972
"PF3D7_1141900",3.07995684071601,-0.593302938072708,0.997523551656728,0.0364374830379215,0.110044749320982
"PF3D7_1142000",4.44890945433268,0.0112402629534621,0.523717987050584,0.963506081393022,0.982039633488305
"PF3D7_1142100",993.966431089088,0.107420724295128,0.179259530404519,0.530022022092335,0.700154290771414
"PF3D7_1142200",4.16502560538746,-0.102864023687863,0.542190666117434,0.639318254924478,0.785500941796457
"PF3D7_1142300",903.342065825613,-0.253486848417433,0.185145167652043,0.146644438432845,0.302577662512997
"PF3D7_1142400",139.076199798223,-0.0415541627438635,0.265185378437807,0.858495819469528,0.928726171193148
"PF3D7_1142500",122.44318279915,1.08162010704271,0.314866139373215,0.000121040040380086,0.000919199939119216
"PF3D7_1142600",421.823013201184,0.986425153937276,0.243438827447605,1.26050166958068e-05,0.000123798031223123
"PF3D7_1142700",29.1705041320794,0.51904386677615,0.487861700346099,0.121498056173787,0.265422405535599
"PF3D7_1142800",27.3304066396606,-0.202888613431277,0.410867914226241,0.494641103418958,0.67118056966675
"PF3D7_1142900",21.1612153072402,-0.640273228016454,0.509418615053538,0.0688370792400174,0.176963751141133
"PF3D7_1143000",36.0841475844259,0.860617419560331,0.439650167915302,0.0125426987764422,0.0484318336601126
"PF3D7_1143100",3002.37805648259,-2.23666865252361,0.204297100004027,5.64053882612317e-29,5.66962674327715e-27
"PF3D7_1143200",237.256728268802,0.212508719037325,0.270658802861937,0.376328370549306,0.567582843538323
"PF3D7_1143300",182.3975931644,0.40708972816914,0.299186068256593,0.114725132202267,0.254363096980395
"PF3D7_1143400",447.76078485351,0.261199732979693,0.20915371906207,0.180542171640569,0.349988378815759
"PF3D7_1143500",63.1767239865356,-0.0959177835550925,0.371175766561054,0.736365238107774,0.852511625489033
"PF3D7_1143600",15.024434910872,-0.221931330912316,0.480144861676754,0.45516316339376,0.639058359929122
"PF3D7_1143700",19.944030923161,0.583004135391159,0.570355973272397,0.100448809097388,0.232551654675045
"PF3D7_1143800",344.175620102557,-1.47231863451449,0.306489426463838,1.986254022569e-07,2.74368626682999e-06
"PF3D7_1143900",8.03866292133865,0.146999611418233,0.511958703584649,0.586160774813209,0.745899738850065
"PF3D7_1144000",326.73009236045,0.868016937114785,0.305086271544793,0.00128591670926948,0.00712498431426517
"PF3D7_1144100",43.4434856170697,0.367873041275486,0.394987327070275,0.22550682727585,0.408731124437478
"PF3D7_1144200",10.3964172653194,0.0543564650118548,0.483335431182057,0.844967174756617,0.920719011122405
"PF3D7_1144300",235.643614766188,1.1828012053306,0.34884593126812,0.000123104199850643,0.000932020957342505
"PF3D7_1144400",20.306752316613,0.049415394327028,0.427744915585435,0.868298539526055,0.93413289722337
"PF3D7_1144500",17.7092055742389,0.40912833602547,0.537749486152934,0.210432635692584,0.389378895671464
"PF3D7_1144600",87.8809997962807,0.6581922570646,0.404419546963061,0.0391296389257212,0.116174688641519
"PF3D7_1144700",61.7155724508163,0.53993581892598,0.3432744035977,0.0586561639932253,0.15765632370862
"PF3D7_1144800",18.0467791281894,0.0179414877631971,0.448094025306595,0.952919219663981,0.977560283474076
"PF3D7_1144900",420.665398111773,-0.122299355540336,0.218130312225587,0.543814838081495,0.71069886565776
