gene,SRR16966869,SRR16966870,SRR16966871,SRR16966872,SRR16966873,SRR16966874
PF3D7_1342700,4.134,9.773,6.316,10.914,25.376,44.737
PF3D7_1342800,224.119,180.109,163.431,145.237,324.353,334.311
PF3D7_1342900,130.198,147.328,131.074,62.658,179.206,214.803
PF3D7_1343000,5678.576,7404.419,6802.889,12883.989,13553.721,15199.054
PF3D7_1343100,606.763,878.804,591.29,242.757,487.75,467.885
PF3D7_1343200,290.615,340.937,207.351,203.978,368.79,376.547
PF3D7_1343300,851.096,1184.105,795.878,1217.424,1734.555,1380.948
PF3D7_1343400,213.067,192.433,195.931,235.234,326.13,295.657
PF3D7_1343500,35.727,50.996,35.861,82.092,123.678,88.947
PF3D7_1343600,4.045,27.18,0.0,7.615,32.187,27.529
PF3D7_1343700,230.035,307.652,135.549,109.687,226.254,109.982
PF3D7_1343800,1598.242,2144.953,824.62,476.831,915.407,927.291
PF3D7_1343900,78.51,134.814,31.693,60.078,131.399,178.287
PF3D7_1344000,45.671,51.292,23.919,18.616,60.328,83.616
PF3D7_1344100,277.359,287.307,92.831,43.227,76.066,121.192
PF3D7_1344200,1025.926,1749.522,792.219,1452.825,2087.01,1439.422
PF3D7_1344300,1956.538,2324.928,1796.066,294.968,694.526,599.512
PF3D7_1344400,26.244,15.325,37.331,6.547,38.434,22.749
PF3D7_1344500,29.206,32.8,26.727,18.294,54.217,31.459
PF3D7_1344600,69.387,65.912,52.33,43.929,72.998,86.007
PF3D7_1344700,33.465,89.65,57.884,49.287,48.017,49.629
PF3D7_1344800,38.613,101.993,65.387,116.361,187.153,238.064
PF3D7_1344900,61.421,88.118,146.924,81.813,104.415,157.216
PF3D7_1345000,8.816,3.407,8.92,3.687,15.261,16.005
PF3D7_1345100,85.031,108.81,125.372,28.148,51.049,83.735
PF3D7_1345200,32.847,56.997,57.352,88.813,129.583,99.373
PF3D7_1345300,45.539,85.237,52.061,16.395,59.045,44.848
PF3D7_1345400,588.326,823.116,698.74,1082.697,1373.914,1069.293
PF3D7_1345500,19.246,30.635,27.196,32.765,46.925,51.422
PF3D7_1345600,852.434,751.139,788.128,347.315,430.466,590.645
PF3D7_1345700,254.197,217.009,168.394,203.775,427.764,399.092
PF3D7_1345800,122.833,87.992,70.251,62.501,124.908,157.668
PF3D7_1345900,120.761,76.328,34.798,131.127,113.761,118.832
PF3D7_1346000,15.783,3.863,5.419,3.77,4.225,8.207
PF3D7_1346100,712.904,804.442,711.968,812.067,1190.81,1085.844
PF3D7_1346200,0.0,2.003,1.002,0.0,0.727,1.0
PF3D7_1346300,257.275,281.908,248.896,457.495,572.67,635.109
PF3D7_1346400,4654.855,5944.438,5065.869,5271.923,4511.824,6258.929
